year,pick,player,ws,ws_per_48,bpm,vorp,g,mp,seasons
1993,10,Lindsey Hunter,32.9,.068,-0.4,9.4,937,23253,17
1993,11,Allan Houston,55.3,.094,0.1,15.0,839,28311,12
1993,12,George Lynch,32.3,.088,-0.4,7.3,774,17683,12
1993,13,Terry Dehere,7.3,.048,-2.6,-1.1,402,7305,6
1993,14,Scott Haskin,0.3,.087,-2.8,0.0,27,186,1
1993,15,Doug Edwards,0.2,.013,-4.8,-0.6,85,838,3
1993,16,Rex Walters,6.3,.066,-2.0,0.0,335,4602,7
1993,17,Greg Graham,1.3,.025,-3.8,-1.2,207,2530,5
1993,18,Luther Wright,-0.1,-.064,-12.3,-0.2,15,92,1
1993,19,Acie Earl,0.3,.005,-5.9,-2.5,193,2512,4
1993,20,Scott Burrell,16.4,.104,0.7,5.2,383,7592,8
1993,21,James Robinson,5.8,.040,-2.0,0.0,381,6935,7
1993,22,Chris Mills,37.7,.105,-0.5,6.8,568,17282,10
1993,23,Ervin Johnson,37.8,.107,-1.4,2.6,845,16989,13
1993,24,Sam Cassell,87.5,.141,1.8,28.8,993,29812,15
1993,25,Corie Blount,18.2,.088,-2.5,-1.1,644,9925,11
1993,26,Geert Hammink,0.1,.089,-3.7,0.0,8,27,3
1993,27,Malcolm Mackey,0.1,.036,-8.7,-0.1,22,69,1
1993,28,Lucious Harris,28.7,.088,-0.9,4.5,800,15701,12
1993,29,Sherron Mills,,,,,,,
1993,30,Gheorghe Muresan,19.0,.136,-0.3,2.9,307,6729,6
1993,31,Evers Burns,0.1,.020,-5.5,-0.1,23,143,1
1993,32,Alphonso Ford,-0.4,-.153,-8.4,-0.2,11,114,2
1993,33,Eric Riley,2.5,.066,-3.8,-0.9,186,1844,5
1993,34,Darnell Mee,-0.1,-.020,-2.8,-0.1,40,293,2
1993,35,Ed Stokes,0.0,-.078,-7.6,0.0,4,17,1
1993,36,John Best,,,,,,,
1993,37,Nick Van Exel,55.9,.093,0.4,17.7,880,28969,13
1993,38,Conrad McRae,,,,,,,
1993,39,Thomas Hill,,,,,,,
1993,40,Richard Manning,-0.3,-.028,-8.3,-0.8,55,512,2
1993,41,Anthony Reed,,,,,,,
1993,42,Adonis Jordan,0.0,-.015,-2.9,0.0,10,97,2
1993,43,Josh Grant,0.5,.060,-2.3,0.0,53,382,1
1993,44,Alex Holcombe,,,,,,,
1993,45,Bryon Russell,47.4,.115,0.4,11.8,841,19805,13
1993,46,Richard Petruska,0.0,-.014,-8.2,-0.1,22,92,1
1993,47,Chris Whitney,21.2,.101,-0.2,4.6,579,10052,11
1993,48,Kevin Thompson,0.0,-.016,-8.1,-0.1,14,58,1
1993,49,Mark Buford,,,,,,,
1993,50,Marcelo Nicola,,,,,,,
1993,51,Spencer Dunkley,,,,,,,
1993,52,Mike Peplowski,1.0,.067,-4.5,-0.4,68,705,3
1993,53,Leonard White,,,,,,,
1993,54,Byron Wilson,,,,,,,
1994,1,Glenn Robinson,39.8,.075,0.1,13.5,688,25346,11
1994,2,Jason Kidd,138.6,.133,3.8,73.5,1391,50111,19
1994,3,Grant Hill,99.9,.138,3.0,43.6,1026,34776,18
1994,4,Donyell Marshall,59.0,.113,1.1,19.9,957,25027,15
1994,5,Juwan Howard,59.4,.078,-1.6,3.8,1208,36654,19
1994,6,Sharone Wright,1.4,.015,-4.8,-3.2,203,4531,4
1994,7,Lamond Murray,19.8,.052,-1.2,4.0,736,18477,11
1994,8,Brian Grant,54.5,.122,-0.8,6.2,756,21417,12
1994,9,Eric Montross,8.5,.048,-4.4,-5.2,465,8479,8
1994,10,Eddie Jones,100.6,.147,3.1,42.3,954,32778,14
1994,11,Carlos Rogers,11.1,.095,-1.0,1.5,298,5654,8
1994,12,Khalid Reeves,8.4,.069,-1.3,1.0,277,5837,6
1994,13,Jalen Rose,47.2,.081,-0.2,12.3,923,27925,13
1994,14,Yinka Dare,-0.7,-.033,-8.4,-1.6,110,1002,4
1994,15,Eric Piatkowski,31.0,.102,0.2,7.9,789,14613,14
1994,16,Clifford Rozier,3.9,.063,-3.5,-1.1,173,2984,4
1994,17,Aaron McKie,40.0,.100,0.7,12.9,793,19156,13
1994,18,Eric Mobley,1.1,.034,-4.3,-0.9,113,1570,3
1994,19,Tony Dumas,1.3,.027,-3.3,-0.7,156,2222,4
1994,20,B.J. Tyler,-0.7,-.039,-5.0,-0.6,55,809,1
1994,21,Dickey Simpkins,4.7,.044,-4.5,-3.3,327,5201,7
1994,22,Bill Curley,1.6,.047,-5.3,-1.3,147,1614,5
1994,23,Wesley Person,44.0,.102,0.9,15.2,733,20727,11
1994,24,Monty Williams,11.4,.072,-1.8,0.3,456,7624,9
1994,25,Greg Minor,8.2,.077,-1.5,0.7,277,5144,5
1994,26,Charlie Ward,33.0,.113,2.1,14.5,630,14080,11
1994,27,Brooks Thompson,2.0,.057,-1.5,0.2,168,1714,4
1994,28,Deon Thomas,,,,,,,
1994,29,Antonio Lang,1.7,.057,-3.8,-0.6,143,1395,6
1994,30,Howard Eisley,19.5,.058,-1.7,1.3,786,16013,12
1994,31,Rodney Dent,,,,,,,
1994,32,Jim McIlvaine,9.4,.076,-2.2,-0.3,401,5927,7
1994,33,Derrick Alston,2.6,.047,-2.8,-0.5,139,2657,3
1994,34,Gaylon Nickerson,0.1,.076,-1.2,0.0,4,42,1
1994,35,Michael Smith,23.4,.107,-0.1,5.1,449,10552,7
1994,36,Andrei Fetisov,,,,,,,
1994,37,Dontonio Wingfield,1.8,.074,-2.6,-0.2,114,1146,4
1994,38,Darrin Hancock,1.1,.038,-3.3,-0.5,133,1395,3
1994,39,Anthony Miller,3.8,.110,-2.6,-0.2,181,1637,8
1994,40,Jeff Webster,0.0,-.030,-4.9,0.0,11,58,1
1994,41,William Njoku,,,,,,,
1994,42,Gary Collier,,,,,,,
1994,43,Shawnelle Scott,1.3,.101,-3.8,-0.3,105,634,4
1994,44,Damon Bailey,,,,,,,
1994,45,Dwayne Morton,0.2,.025,-3.5,-0.1,41,395,1
1994,46,Voshon Lenard,29.6,.093,0.0,7.9,565,15349,11
1994,47,Jamie Watson,1.2,.045,-1.5,0.2,102,1248,4
1994,48,Jevon Crudup,,,,,,,
1994,49,Kris Bruton,,,,,,,
1994,50,Charles Claxton,0.0,-.179,-18.9,0.0,3,7,1
1994,51,Lawrence Funderburke,12.9,.131,-0.5,1.8,318,4726,7
1994,52,Anthony Goldwire,6.4,.062,-1.8,0.3,266,4951,8
1994,53,Albert Burditt,,,,,,,
1994,54,Zeljko Rebraca,8.3,.121,-2.2,-0.2,215,3280,5
1995,1,Joe Smith,60.3,.107,-1.5,3.0,1030,27022,16
1995,2,Antonio McDyess,69.8,.119,-0.1,13.2,1015,28053,15
